time,r2,r4,a2
0,0,0,0
0.025,0.0193033,0.0006209214,-0.0001727382
0.05,0.06779128,0.007679946,0.002678635
0.075,0.1256093,0.02673953,0.01686031
0.1,0.1745992,0.05365748,0.05608074
0.125,0.2070247,0.08087766,0.1322323
0.15,0.2258184,0.1054697,0.2409663
0.175,0.2389031,0.1287921,0.3539313
0.2,0.2522083,0.1526871,0.4402401
0.225,0.2664761,0.1777888,0.5022395
0.25,0.2786265,0.2025094,0.5651346
0.275,0.2853904,0.2239636,0.6498706
0.3,0.2864712,0.2406521,0.7594581
0.325,0.2847404,0.2536196,0.8768773
0.35,0.2841211,0.2653805,0.9724832
0.375,0.2868441,0.2779563,1.026917
0.4,0.2923277,0.292601,1.05441
0.425,0.2978206,0.3084099,1.086268
0.45,0.3005483,0.3234529,1.148493
0.475,0.2992839,0.3356421,1.248334
0.5,0.2947639,0.3440682,1.376004
0.525,0.2887427,0.3498384,1.517658
0.55,0.2829857,0.3546576,1.657245
0.575,0.2783514,0.3594776,1.783788
0.6,0.2748081,0.3645812,1.896585
0.625,0.2719118,0.3701266,2.003622
0.65,0.2695122,0.376166,2.107234
0.675,0.2676608,0.3826087,2.204325
0.7,0.2665693,0.3894195,2.288127
0.725,0.266648,0.3964715,2.345696
0.75,0.2682077,0.4040523,2.370128
0.775,0.2713588,0.4131314,2.366292
0.8,0.2757324,0.4237842,2.344418
0.825,0.2809103,0.4358565,2.314052
0.85,0.2865612,0.4493367,2.283131
0.875,0.2926435,0.4640748,2.251332
0.9,0.2992516,0.4791986,2.210658
0.925,0.3065623,0.4949316,2.159796
0.95,0.3146918,0.5117366,2.100465
0.975,0.3231913,0.5290063,2.038734
1,0.330861,0.5453975,1.989325
1.05,0.3394029,0.5704,1.97098
1.1,0.3378112,0.5848827,2.07519
1.15,0.332797,0.5925705,2.210203
1.2,0.3277411,0.5990293,2.346089
1.25,0.3210606,0.6054174,2.523969
1.3,0.3175738,0.6136263,2.650614
1.35,0.3217404,0.6273563,2.636255
1.4,0.3290415,0.6453711,2.57651
1.45,0.3352861,0.6636606,2.542144
1.5,0.3414098,0.6823186,2.512258
1.55,0.347648,0.7029513,2.489771
1.6,0.3515016,0.7208502,2.500593
1.65,0.3530031,0.7341552,2.534941
1.7,0.353524,0.7474483,2.588348
1.75,0.3539636,0.761934,2.648811
1.8,0.3551697,0.7760294,2.691116
1.85,0.3575057,0.7902555,2.709821
1.9,0.3597432,0.805173,2.732977
1.95,0.3613422,0.8237281,2.785279
2,0.3636141,0.8430484,2.8258
2.05,0.3669211,0.8620957,2.842036
2.1,0.370312,0.880713,2.853453
2.15,0.3739329,0.8982603,2.854483
2.2,0.3785028,0.9135799,2.826129
2.25,0.3823493,0.9284704,2.810646
2.3,0.3846552,0.9438433,2.827436
2.35,0.3865559,0.9601636,2.855421
2.4,0.387621,0.9734738,2.887415
2.45,0.3870002,0.9816904,2.932814
2.5,0.3856826,0.9888241,2.988505
2.55,0.3858884,0.9980289,3.021341
2.6,0.3876061,1.005952,3.017422
2.65,0.3895943,1.01284,3.003751
2.7,0.392159,1.0212,2.984169
2.75,0.3954705,1.031764,2.95825
2.8,0.3984428,1.045757,2.952301
2.85,0.4003874,1.061693,2.973647
2.9,0.4011544,1.078166,3.019886
2.95,0.4020239,1.09289,3.057178
3,0.4036652,1.105327,3.070049
3.05,0.4055525,1.120203,3.086522
3.125,0.4086005,1.148399,3.127114
3.175,0.4106962,1.165287,3.145173
3.25,0.4131832,1.189716,3.18128
3.3,0.4149556,1.205757,3.201533
3.375,0.4184005,1.227231,3.206231
3.45,0.4213611,1.244203,3.204687
3.5,0.4228406,1.254918,3.211272
3.575,0.4249228,1.27791,3.246504
3.65,0.4270366,1.306031,3.297089
3.725,0.4290047,1.328006,3.329393
3.8,0.4316079,1.352897,3.357498
3.875,0.4344252,1.371678,3.360871
3.95,0.4366721,1.38345,3.353153
4.025,0.439778,1.406967,3.364839
4.1,0.4435104,1.429414,3.360153
4.175,0.4457119,1.454032,3.391539
4.25,0.4469976,1.476401,3.433485
4.35,0.4488637,1.494668,3.451098
4.425,0.4513,1.51792,3.471667
4.525,0.4557014,1.553162,3.48753
4.6,0.4587597,1.572193,3.482153
4.7,0.4616541,1.603671,3.514745
4.8,0.4639705,1.635114,3.557414
4.875,0.4661369,1.660322,3.584761
4.975,0.4695032,1.689911,3.599788
5.075,0.4739029,1.716149,3.584876
5.175,0.4769784,1.752712,3.622366
5.275,0.4800494,1.787697,3.654502
5.375,0.4828608,1.814193,3.668645
5.5,0.486444,1.845721,3.680061
5.6,0.4893355,1.880444,3.711924
5.7,0.4922586,1.901021,3.707079
5.825,0.4977181,1.949799,3.722525
5.925,0.5012475,1.982485,3.734311
6.05,0.5043231,2.025349,3.77786
6.175,0.5069858,2.053701,3.793986
6.3,0.5106025,2.101592,3.83653
6.425,0.5149992,2.144697,3.851814
6.55,0.5174554,2.163396,3.847765
6.675,0.5200033,2.203562,3.889498
6.8,0.5223844,2.230681,3.904653
6.925,0.5263528,2.277272,3.931879
