time,r2,r4,a2
0,0,0,0
0.025,0.01305784,0.0003406512,0.1987215
0.05,0.0477717,0.004569135,0.2012788
0.075,0.09430203,0.0178809,0.2064203
0.1,0.1417311,0.04084588,0.2200258
0.125,0.1817346,0.06889516,0.2515975
0.15,0.2103867,0.09659479,0.3093885
0.175,0.2282164,0.1212611,0.3969444
0.2,0.2384205,0.1429163,0.5085016
0.225,0.2447976,0.1630443,0.6324605
0.25,0.250053,0.1828453,0.7545716
0.275,0.2551873,0.2022944,0.863875
0.3,0.2600887,0.2205264,0.9559994
0.325,0.2642849,0.2367542,1.03378
0.35,0.2675294,0.2510545,1.104632
0.375,0.2698632,0.2639729,1.17482
0.4,0.271663,0.276812,1.25048
0.425,0.2731044,0.2899733,1.332662
0.45,0.2741122,0.303316,1.422088
0.475,0.2741868,0.3157915,1.520336
0.5,0.2727035,0.3260629,1.630699
0.525,0.2693639,0.3339987,1.761958
0.55,0.2644866,0.3401582,1.917594
0.575,0.2588451,0.3452315,2.09159
0.6,0.2534796,0.3497891,2.266415
0.625,0.2492318,0.3545011,2.424223
0.65,0.2465572,0.359982,2.553011
0.675,0.2455063,0.3664688,2.64807
0.7,0.2457512,0.3738489,2.714121
0.725,0.2469691,0.3817079,2.754891
0.75,0.2488698,0.389849,2.776621
0.775,0.2514251,0.3987641,2.784863
0.8,0.2546829,0.408631,2.779922
0.825,0.2588203,0.4196647,2.758866
0.85,0.2640176,0.43213,2.719631
0.875,0.2704331,0.4462895,2.661407
0.9,0.2779162,0.4614476,2.584642
0.925,0.2860748,0.4773529,2.499705
0.95,0.2943854,0.4939763,2.41999
0.975,0.3022066,0.5105697,2.354272
1,0.3087605,0.5257734,2.309072
1.05,0.316441,0.5490759,2.290018
1.1,0.3170021,0.5644999,2.370472
1.15,0.3127554,0.5735164,2.517931
1.2,0.3061397,0.5798597,2.712231
1.25,0.2997016,0.5864793,2.917652
1.3,0.2974535,0.5957467,3.039937
1.35,0.3010301,0.609589,3.03616
1.4,0.3076548,0.6266575,2.972411
1.45,0.3141588,0.6442494,2.916579
1.5,0.3201464,0.6624896,2.878226
1.55,0.3261589,0.6824661,2.84923
1.6,0.3303634,0.7004563,2.850778
1.65,0.3320268,0.7139125,2.885528
1.7,0.3320571,0.7267335,2.954586
1.75,0.3326153,0.7410028,3.018709
1.8,0.3342291,0.7557071,3.058974
1.85,0.3360707,0.7696199,3.08852
1.9,0.338013,0.7841396,3.117919
1.95,0.3401383,0.8028964,3.163894
2,0.3424302,0.8222237,3.207237
2.05,0.3449794,0.8403169,3.236507
2.1,0.3485047,0.8584098,3.240613
2.15,0.3526797,0.8764312,3.227739
2.2,0.3569435,0.8914863,3.198236
2.25,0.3603275,0.9060234,3.186931
2.3,0.363252,0.9217933,3.191494
2.35,0.3653774,0.9380006,3.215711
2.4,0.3660818,0.9505828,3.255835
2.45,0.3656506,0.9589454,3.303409
2.5,0.3650307,0.9670828,3.354678
2.55,0.36541,0.9764891,3.387911
2.6,0.366779,0.9838175,3.387902
2.65,0.3688366,0.9907448,3.369633
2.7,0.3716111,0.9993168,3.341873
2.75,0.374731,1.009782,3.314593
2.8,0.3773426,1.02304,3.310939
2.85,0.3791287,1.038145,3.33347
2.9,0.3800723,1.054994,3.381962
2.95,0.3809035,1.069709,3.423712
3,0.3822394,1.081632,3.441811
3.05,0.3839394,1.09661,3.463525
3.125,0.3871373,1.125394,3.505322
3.175,0.3890732,1.141787,3.525575
3.25,0.3914983,1.164964,3.560412
3.3,0.3932331,1.18071,3.581361
3.375,0.3967129,1.202454,3.584238
3.45,0.3998741,1.219481,3.575931
3.5,0.4013988,1.230554,3.582469
3.575,0.4035462,1.253027,3.61663
3.65,0.4059615,1.280864,3.663207
3.725,0.4081016,1.302911,3.693852
3.8,0.4107065,1.327296,3.721239
3.875,0.413279,1.346151,3.72888
3.95,0.4154532,1.357814,3.720056
4.025,0.4185182,1.380498,3.728882
4.1,0.4220953,1.402576,3.72342
4.175,0.4243442,1.427527,3.756627
4.25,0.4257075,1.449427,3.798716
4.35,0.4275561,1.467451,3.816469
4.425,0.4299089,1.490494,3.838699
4.525,0.434046,1.524766,3.856046
4.6,0.4370351,1.543968,3.850171
4.7,0.4399623,1.574788,3.881378
4.8,0.442256,1.606471,3.928066
4.875,0.4445462,1.631195,3.952487
4.975,0.4480499,1.661416,3.965659
5.075,0.4526586,1.68774,3.942141
5.175,0.4558506,1.724745,3.980021
5.275,0.458936,1.758753,4.010164
5.375,0.4618681,1.784498,4.019164
5.5,0.4653534,1.816056,4.031698
5.6,0.4679478,1.850427,4.07024
5.7,0.4705296,1.869555,4.066587
5.825,0.4756971,1.917737,4.084862
5.925,0.4791073,1.949721,4.096335
6.05,0.4823744,1.992625,4.138169
6.175,0.4854893,2.021749,4.146586
6.3,0.4893589,2.069052,4.184034
6.425,0.4938718,2.113581,4.199262
6.55,0.4963121,2.13235,4.193977
6.675,0.4988787,2.172271,4.236911
6.8,0.5010876,2.198572,4.253693
6.925,0.5047911,2.244601,4.285267
7.075,0.5099934,2.298417,4.302138
7.2,0.5127882,2.315566,4.28363
7.35,0.5170588,2.353638,4.282154
7.5,0.5179087,2.382679,4.329794
7.65,0.5207157,2.414164,4.342157
7.8,0.5254222,2.458436,4.343101
7.95,0.5290986,2.485778,4.327707
8.1,0.5314521,2.519902,4.353116
8.25,0.5351586,2.565187,4.374095
8.425,0.5397248,2.605238,4.366041
8.6,0.5457735,2.667915,4.374008
8.75,0.550524,2.719984,4.384745
8.925,0.5529788,2.748851,4.393685
9.1,0.5558261,2.782584,4.404079
9.275,0.5607317,2.837309,4.414367
9.475,0.5664032,2.910686,4.443713
9.65,0.572469,2.96545,4.429227
9.85,0.5776667,3.056943,4.496471
10.05,0.5820087,3.092442,4.477645
10.225,0.5865964,3.161838,4.513305
10.45,0.5912926,3.207572,4.504563
10.65,0.5943692,3.230298,4.486323
10.85,0.5987534,3.295561,4.515497
11.075,0.6045479,3.375533,4.541562
11.275,0.6088617,3.416378,4.529423
11.5,0.6130424,3.463167,4.528964
11.725,0.6199452,3.558972,4.556089
11.975,0.6260794,3.622097,4.544375
12.2,0.630896,3.683287,4.552279
12.45,0.6356574,3.739351,4.552664
12.675,0.6412028,3.807192,4.556038
12.925,0.6449772,3.862851,4.571478
13.175,0.6540996,3.982805,4.585377
13.45,0.6605614,4.066541,4.591781
13.7,0.6634858,4.104269,4.594017
13.975,0.6701109,4.20328,4.616247
14.25,0.6783735,4.337383,4.655113
14.525,0.686074,4.431636,4.649024
14.825,0.6942373,4.557151,4.673209
15.125,0.7004026,4.652467,4.690352
15.4,0.7044852,4.705033,4.688139
15.725,0.7112824,4.812708,4.70764
16.025,0.7212128,4.905647,4.658753
16.35,0.7269723,5.016216,4.694974
16.65,0.7350454,5.122287,4.688356
16.975,0.7413139,5.2037,4.68145
17.325,0.747485,5.336216,4.730331
17.65,0.7522134,5.383168,4.708303
18,0.7574415,5.475949,4.726807
18.375,0.7674661,5.624132,4.729125
18.725,0.7770026,5.766645,4.730988
19.1,0.7852316,5.945114,4.785167
19.475,0.7940365,6.026134,4.734679
19.85,0.8030294,6.193988,4.763134
20.25,0.8112467,6.349029,4.788322
20.65,0.8187797,6.418197,4.744209
21.05,0.8264684,6.547281,4.751217
21.45,0.8319767,6.643437,4.758664
21.875,0.8444274,6.85592,4.768892
22.325,0.8535792,7.031543,4.790476
22.75,0.859305,7.139853,4.801574
23.2,0.8749355,7.329572,4.744838
23.65,0.8810706,7.459896,4.76584
24.125,0.8885999,7.572755,4.754301
24.6,0.89549,7.732344,4.7855
25.075,0.9070439,7.885022,4.750393
25.575,0.91411,8.007503,4.749784
26.075,0.9291133,8.255904,4.738237
26.6,0.9413729,8.473205,4.736878
27.125,0.9506777,8.682703,4.764207
27.65,0.9559437,8.784877,4.767961
28.2,0.9686391,9.009357,4.761307
28.75,0.9782873,9.180897,4.755772
29.3,0.9906996,9.443375,4.772906
29.875,0.9983267,9.557248,4.753587
30.475,1.007623,9.768699,4.772873
31.075,1.020609,10.05529,4.791978
31.675,1.029003,10.17282,4.764462
32.3,1.047141,10.47878,4.733915
