time,eb
103,1.249234
112,1.194778
121,1.118987
130,1.170384
139,1.156273
148,1.145576
157,1.076302
166,1.012436
175,0.9630001
184,0.9194367
193,0.8744812
202,0.8356673
211,0.8212542
220,0.7805189
229,0.7310589
238,0.7100343
247,0.6915618
256,0.6702047
265,0.6514918
274,0.6358182
283,0.6305678
292,0.6389408
301,0.6367139
310,0.6370948
319,0.628139
328,0.6254144
337,0.624328
346,0.6148329
355,0.6142612
364,0.6110245
373,0.6099924
382,0.6226665
391,0.6248585
400,0.6347451
409,0.6463298
418,0.6443513
427,0.641583
436,0.6447763
445,0.6368522
454,0.6301543
463,0.6228733
472,0.6176303
481,0.612936
490,0.6152392
499,0.6251312
508,0.6224283
517,0.6259969
526,0.6186223
535,0.619936
544,0.6141997
553,0.6123066
562,0.6110352
571,0.6043089
580,0.6129298
589,0.622678
598,0.6183245
607,0.6164805
616,0.6151574
625,0.6095753
634,0.603856
643,0.6005286
652,0.5992871
661,0.5921943
670,0.587373
679,0.5855344
688,0.5816804
697,0.5755574
706,0.5726503
715,0.5719706
724,0.572505
733,0.5698908
742,0.5676875
751,0.5686387
760,0.5707927
769,0.5663378
778,0.5684121
787,0.5696142
796,0.576885
805,0.5794948
814,0.5851405
823,0.5878719
832,0.588022
841,0.5862401
850,0.5896341
859,0.5914228
868,0.58848
877,0.5869101
886,0.5838082
895,0.584951
904,0.585677
913,0.5851449
922,0.5817456
931,0.5823478
940,0.5841138
949,0.5871942
958,0.5847876
967,0.5821455
976,0.5836551
985,0.5826802
994,0.5789102
1003,0.5777268
1012,0.5752384
1021,0.5726112
1030,0.5735225
1039,0.573233
1048,0.5706936
1057,0.5677599
1066,0.5681108
1075,0.5688082
1084,0.5685951
1093,0.573775
1102,0.5755488
1111,0.5742931
1120,0.5731468
1129,0.5774493
1138,0.5793554
1147,0.5786585
1156,0.5755132
1165,0.5779198
1174,0.5781649
1183,0.5797256
1192,0.580274
1201,0.5735745
1210,0.5701125
1219,0.5670105
1228,0.5630265
1237,0.5590222
1246,0.5584676
1255,0.5566334
1264,0.5538797
1273,0.5531879
1282,0.5549237
1291,0.5533113
1300,0.5537038
1309,0.5517373
1318,0.5514229
1327,0.5490459
1336,0.5453344
1345,0.5437263
1354,0.5418494
1363,0.540637
1372,0.536681
1381,0.5324628
1390,0.5330671
1399,0.5392878
1408,0.5434992
1417,0.5435162
1426,0.542914
1435,0.5437824
1444,0.5425044
1453,0.5410804
1462,0.5406742
1471,0.5419895
1480,0.5474377
1489,0.5497413
1498,0.5484289
1507,0.5502407
1516,0.5498913
1525,0.5500278
1534,0.5502293
1543,0.5495209
1552,0.5502185
1561,0.5488173
1570,0.5481242
1579,0.5479702
1588,0.5504394
1597,0.5511832
1606,0.5515179
1615,0.5517763
1624,0.5531693
1633,0.5552915
1642,0.5551547
1651,0.556293
1660,0.5569795
1669,0.5568593
1678,0.5554778
1687,0.555703
1696,0.5553227
1705,0.5537789
1714,0.5522981
1723,0.5489167
1732,0.5469903
1741,0.5476723
1750,0.5464476
1759,0.5470305
1768,0.5487841
1777,0.5500825
1786,0.550887
1795,0.5504864
1804,0.5511643
1813,0.5494813
1822,0.5490277
1831,0.5500107
1840,0.5526923
1849,0.554768
1858,0.5553371
1867,0.5553485
1876,0.5551044
1885,0.5545648
1894,0.5543165
1903,0.554075
1912,0.5548944
1921,0.5522871
1930,0.5503234
1939,0.5480449
1948,0.548541
1957,0.5493448
1966,0.5498628
1975,0.5512701
1984,0.5524877
1993,0.5546868
2002,0.5570585
2011,0.5568513
2020,0.555534
2029,0.553773
2038,0.5550029
2047,0.556781
2056,0.5554434
2065,0.5556543
2074,0.5557982
2083,0.555516
2092,0.5554674
2101,0.5560915
2110,0.5556017
2119,0.5548519
2128,0.5550979
2137,0.5552869
2146,0.5558731
2155,0.5560778
2164,0.5565024
2173,0.556105
2182,0.5548805
2191,0.5538145
2200,0.5530133
2209,0.5519719
2218,0.5507436
2227,0.5495333
2236,0.5491022
2245,0.5503948
2254,0.551933
2263,0.5529014
2272,0.5535914
2281,0.5552898
2290,0.557434
2299,0.5576207
2308,0.5589506
2317,0.5601693
2326,0.5601722
2335,0.5575241
2344,0.5553423
2353,0.5559204
2362,0.5562861
2371,0.5574526
2380,0.555715
2389,0.5548563
2398,0.5542926
2407,0.5558786
2416,0.5576059
2425,0.5580861
2434,0.5586655
2443,0.5590582
2452,0.5598477
2461,0.559023
2470,0.5604003
2479,0.559859
2488,0.5599649
2497,0.5589354
2506,0.5593464
2515,0.5598498
2524,0.56123
2533,0.5638656
2542,0.5679399
2551,0.5692887
2560,0.5691185
2569,0.569123
2578,0.5712153
2587,0.5724531
2596,0.571503
2605,0.5717703
2614,0.5713238
2623,0.5713894
2632,0.5732205
2641,0.5734498
2650,0.5739045
2659,0.5725396
2668,0.5707676
2677,0.5702761
2686,0.5688404
2695,0.569258
2704,0.5699269
2713,0.5691188
2722,0.5690383
2731,0.5704083
2740,0.5698823
2749,0.5682407
2758,0.5694203
2767,0.5695819
2776,0.569867
2785,0.5691717
2794,0.5697258
2803,0.5687234
2812,0.5680185
2821,0.5674257
2830,0.5683266
2839,0.5677437
2848,0.5666046
2857,0.5666463
2866,0.5674772
2875,0.5686812
2884,0.5698311
2893,0.5732093
2902,0.5733021
2911,0.5738469
2920,0.5722793
2929,0.5703344
2938,0.5689886
2947,0.5676215
2956,0.5665561
2965,0.5652591
2974,0.5640614
2983,0.5622057
2992,0.560127
3001,0.5588847
3010,0.5571037
3019,0.5558723
3028,0.5544605
3037,0.5538343
3046,0.5527028
3055,0.5522583
3064,0.5532052
3073,0.5537975
3082,0.5533598
3091,0.5525703
3100,0.5531595
3109,0.5545384
3118,0.5547044
3127,0.5553903
3136,0.5554652
3145,0.5542971
3154,0.5539734
3163,0.553547
3172,0.5530739
3181,0.5523895
3190,0.5512906
3199,0.5512505
3208,0.5516052
3217,0.5519211
3226,0.553437
3235,0.5536781
3244,0.5532325
3253,0.5532
3262,0.5531154
3271,0.5522412
3280,0.552197
3289,0.5516521
3298,0.5504862
3307,0.5508467
3316,0.5498458
3325,0.5501719
3334,0.5509395
3343,0.5505257
