time,r2,r4,a2
0,0,0,0
0.001,6.774528e-06,7.655779e-11,0.0008812911
0.002,2.709173e-05,1.22436e-09,0.000891539
0.003,6.094743e-05,6.196489e-09,0.0008894808
0.004,0.0001083351,1.957897e-08,0.0009280759
0.005,0.0001692436,4.778448e-08,0.0009527666
0.006,0.0002436647,9.905119e-08,0.0009806278
0.007,0.0003315817,1.834275e-07,0.001000796
0.008,0.0004329848,3.127818e-07,0.001030886
0.009,0.0005478522,5.007655e-07,0.001057017
0.01,0.000676167,7.628275e-07,0.001081951
0.011,0.0008179099,1.116187e-06,0.001099824
0.012,0.0009730618,1.579853e-06,0.001122189
0.013,0.001141599,2.174559e-06,0.001141308
0.014,0.001323501,2.922807e-06,0.001158129
0.015,0.001518735,3.848775e-06,0.001174431
0.016,0.00172729,4.978467e-06,0.001190072
0.017,0.001949126,6.339439e-06,0.001202893
0.018,0.002184234,7.961136e-06,0.001216451
0.019,0.00243257,9.874412e-06,0.001225356
0.02,0.002694116,1.211201e-05,0.001232426
0.021,0.002968837,1.47082e-05,0.00123927
0.022,0.003256702,1.769886e-05,0.001245342
0.023,0.00355769,2.112166e-05,0.001251563
0.024,0.003871751,2.501538e-05,0.001252126
0.025,0.004198864,2.942088e-05,0.001251667
0.026,0.004539002,3.438059e-05,0.001252996
0.027,0.004892117,3.99379e-05,0.001250821
0.028,0.005258187,4.61384e-05,0.001248042
0.029,0.005637194,5.302922e-05,0.001245208
0.03,0.006029082,6.065795e-05,0.001236313
0.031,0.006433825,6.907513e-05,0.001231366
0.032,0.006851381,7.833146e-05,0.001223804
0.033,0.007281738,8.848042e-05,0.00121733
0.034,0.007724843,9.957547e-05,0.001207929
0.035,0.008180652,0.0001116723,0.001199701
0.036,0.00864914,0.0001248279,0.001191244
0.037,0.009130264,0.0001391004,0.001181927
0.038,0.009623979,0.0001545491,0.001170985
0.039,0.01013024,0.000171235,0.001161044
0.04,0.010649,0.0001892195,0.001150581
0.041,0.01118024,0.0002085676,0.001141822
0.042,0.0117239,0.0002293421,0.001130838
0.043,0.01227992,0.0002516096,0.001123764
0.044,0.01284826,0.0002754366,0.001115444
0.045,0.01342886,0.00030089,0.001106887
0.046,0.0140217,0.0003280407,0.001100765
