time,r2,r4,a2
0,0,0,0
0.025,0.002875577,1.654467e-05,0.2004924
0.05,0.01133084,0.0002568043,0.2001326
0.075,0.02497667,0.001247538,0.1998744
0.1,0.04326523,0.003743198,0.1998197
0.125,0.0654985,0.008585149,0.200705
0.15,0.09088503,0.01655874,0.2028011
0.175,0.1186038,0.02828242,0.2063417
0.2,0.1478089,0.04412573,0.2118306
0.225,0.1776924,0.06417387,0.2194716
0.25,0.2075527,0.08827288,0.2294808
0.275,0.2367391,0.1160031,0.2418834
0.3,0.264745,0.1467927,0.2566086
0.325,0.2911589,0.179885,0.2731689
0.35,0.3157335,0.2145617,0.2914042
0.375,0.3382757,0.2500456,0.311079
0.4,0.3586994,0.2855811,0.3317403
0.425,0.3770201,0.3205259,0.3529618
0.45,0.3933043,0.3543186,0.3743197
0.475,0.40763,0.3864634,0.3954919
0.5,0.4201276,0.4166302,0.4162486
0.525,0.4309037,0.4445597,0.4365504
0.55,0.4401242,0.470236,0.4565207
0.575,0.4479437,0.4936567,0.4761465
0.6,0.4544768,0.5148775,0.4956562
0.625,0.4598178,0.5339827,0.5153286
0.65,0.4640421,0.5511432,0.5356806
0.675,0.4672321,0.5666222,0.5573258
0.7,0.4694141,0.5805833,0.5808973
0.725,0.4706618,0.5931855,0.6066598
0.75,0.4710453,0.6045875,0.6348768
0.775,0.4706351,0.6149481,0.6657932
0.8,0.4694902,0.6243792,0.6995997
0.825,0.4676551,0.6329252,0.7364097
0.85,0.4652324,0.640654,0.7759669
0.875,0.4623361,0.6478101,0.8183749
0.9,0.4590388,0.6543803,0.8632998
0.925,0.4554594,0.6604558,0.9102742
0.95,0.4517424,0.666226,0.9588047
0.975,0.4479672,0.671811,1.008657
1,0.4442111,0.677215,1.059202
1.05,0.437019,0.6876232,1.160235
1.1,0.4307231,0.6981424,1.25787
1.15,0.4256063,0.7090764,1.348704
1.2,0.4218686,0.7208043,1.430045
1.25,0.4194395,0.7331174,1.500266
1.3,0.418264,0.7460376,1.558651
1.35,0.4180041,0.7590263,1.606436
1.4,0.418485,0.7725281,1.646707
1.45,0.4194556,0.7862782,1.681362
1.5,0.4207216,0.8004526,1.713296
1.55,0.4221199,0.8151462,1.744828
1.6,0.4236062,0.829844,1.774745
1.65,0.425264,0.844535,1.801893
1.7,0.4271969,0.8595335,1.825907
1.75,0.4295497,0.8751038,1.845666
1.8,0.4324873,0.8917314,1.860478
1.85,0.4359278,0.9092557,1.870834
1.9,0.4398319,0.9279196,1.877982
1.95,0.4440018,0.94727,1.883072
2,0.4481392,0.9670061,1.889047
2.05,0.4519866,0.9859428,1.895688
2.1,0.4552559,1.002962,1.903518
2.15,0.4578929,1.017808,1.912657
2.2,0.4600436,1.030696,1.922024
2.25,0.4619534,1.042414,1.930861
2.3,0.4637979,1.053741,1.939188
2.35,0.4657366,1.065217,1.946514
2.4,0.4678735,1.077102,1.952236
2.45,0.4702461,1.08962,1.956487
