time,eb
506,2.242333
515,2.217817
524,2.20098
533,2.21755
542,2.2239
551,2.20504
560,2.195266
569,2.186129
578,2.166571
587,2.141043
596,2.128406
605,2.106435
614,2.087885
623,2.075951
632,2.054589
641,2.039612
650,2.026608
659,2.012977
668,2.003186
677,1.995729
686,1.975887
694,1.961815
703,1.948079
712,1.938215
721,1.93038
730,1.912247
739,1.892042
748,1.874894
757,1.854523
766,1.837926
775,1.821014
784,1.801438
793,1.788273
802,1.780405
811,1.765555
820,1.759629
829,1.752843
838,1.741315
847,1.735686
856,1.733879
865,1.736365
874,1.735697
883,1.736884
892,1.741194
901,1.735963
910,1.733155
919,1.725159
928,1.708432
937,1.690612
946,1.676246
955,1.666468
964,1.65586
973,1.644401
982,1.636527
991,1.637326
1000,1.632857
1009,1.628905
1018,1.622266
1027,1.615414
1036,1.608908
1045,1.602953
1054,1.596985
1063,1.590133
1072,1.578672
1081,1.566536
1090,1.560263
1099,1.552954
1108,1.543175
1117,1.539125
1126,1.539701
1135,1.538846
1144,1.534298
1153,1.540153
1162,1.538025
1171,1.529272
1180,1.52222
1189,1.51588
1198,1.513595
1207,1.512585
1216,1.520881
1225,1.530407
1234,1.537246
1243,1.536265
1252,1.531115
1261,1.528178
1270,1.5254
1279,1.523099
1288,1.519102
1297,1.516258
1306,1.517429
1315,1.512482
1324,1.50969
1333,1.506807
1342,1.499521
1351,1.489808
1360,1.480347
1369,1.47105
1378,1.461313
1387,1.451616
1396,1.442615
1405,1.432845
1414,1.426636
1423,1.419574
1432,1.415191
1441,1.412085
1450,1.407608
1459,1.406019
1468,1.403919
1477,1.401265
1486,1.39894
1495,1.401727
1504,1.403827
1513,1.397136
1522,1.389756
1531,1.384088
1540,1.379286
1549,1.375272
1558,1.37186
1567,1.365983
1576,1.36433
1585,1.361403
1594,1.356082
1603,1.351156
1612,1.347677
1621,1.346506
1630,1.343615
1639,1.341336
1648,1.336902
1657,1.334216
1666,1.32759
1675,1.320624
1683,1.31654
1692,1.310635
1701,1.306034
1710,1.301092
1719,1.298922
1728,1.295688
1737,1.293733
1746,1.292066
1755,1.290322
1764,1.288036
1773,1.285237
1782,1.283397
1791,1.282424
1800,1.281932
1809,1.281762
1818,1.280476
1827,1.27753
1836,1.276952
1845,1.275575
1854,1.274766
1863,1.274166
1872,1.27355
1881,1.274365
1890,1.274479
1899,1.271331
1908,1.267643
1917,1.266987
1926,1.265773
1935,1.264221
1944,1.264962
1953,1.265562
1962,1.265487
1971,1.265214
1980,1.262418
1989,1.258877
1998,1.255759
2007,1.252971
2016,1.25012
2025,1.249017
2034,1.247446
2043,1.245207
2052,1.243039
2061,1.240554
2070,1.238041
2079,1.235369
2088,1.232921
2097,1.231337
2106,1.229864
2115,1.228144
2124,1.225378
2133,1.224324
2142,1.222102
2151,1.220701
2160,1.219285
2169,1.218786
2178,1.216879
2187,1.215875
2196,1.212908
2205,1.213609
2214,1.212071
2223,1.208817
2232,1.206998
2241,1.204415
2250,1.200936
2259,1.197438
2268,1.194465
2277,1.191199
2286,1.187208
2295,1.183971
2304,1.180987
2313,1.177744
2322,1.174813
2331,1.172564
2340,1.168773
2349,1.165134
2358,1.1616
2367,1.157582
2376,1.154586
2385,1.151808
2394,1.14984
2403,1.147341
2412,1.145415
2421,1.143229
2430,1.141276
2439,1.139045
2448,1.137219
2457,1.134947
2466,1.132301
2475,1.131802
2484,1.130906
2493,1.129606
2502,1.127132
2511,1.125279
2520,1.124152
2529,1.121891
2538,1.118374
2547,1.115771
2556,1.112842
2565,1.109373
2574,1.105453
2583,1.102061
2592,1.099377
2601,1.097078
2610,1.095694
2619,1.093446
2628,1.091973
2637,1.09046
2646,1.089509
2655,1.089138
2664,1.088456
2672,1.088159
2681,1.087955
2690,1.086401
2699,1.084961
2708,1.08438
2717,1.082285
2726,1.080005
2735,1.079232
2744,1.077416
2753,1.075651
2762,1.075028
2771,1.074854
2780,1.073598
2789,1.072835
2798,1.07312
2807,1.073666
2816,1.073239
2825,1.072022
2834,1.070945
2843,1.070168
2852,1.068391
2861,1.066994
2870,1.06582
2879,1.063657
2888,1.062831
2897,1.0621
2906,1.061553
2915,1.061291
2924,1.061283
2933,1.062077
2942,1.061024
2951,1.06022
2960,1.058971
2969,1.05799
2978,1.056155
2987,1.053523
2996,1.052307
3005,1.050397
3014,1.04928
3023,1.048168
3032,1.046772
3041,1.044707
3050,1.043321
3059,1.041757
3068,1.040416
3077,1.039718
3086,1.038442
3095,1.037719
3104,1.036128
3113,1.03582
3122,1.034835
3131,1.035272
3140,1.035117
3149,1.03581
3158,1.035148
3167,1.033066
3176,1.032017
3185,1.030969
3194,1.028759
3203,1.027557
3212,1.025748
3221,1.024309
3230,1.02277
3239,1.020117
3248,1.018569
3257,1.017432
3266,1.01632
3275,1.014761
3284,1.014627
3293,1.014164
3302,1.014374
3311,1.013932
3320,1.01447
3329,1.015082
3338,1.01688
3347,1.017921
3356,1.018485
3365,1.018865
3374,1.018823
3383,1.018558
3392,1.018341
3401,1.017727
3410,1.017374
3419,1.016215
3428,1.015696
3437,1.015732
3446,1.015646
3455,1.015149
3464,1.013942
3473,1.013347
3482,1.01126
3491,1.009817
3500,1.008503
3509,1.007164
3518,1.005109
3527,1.003708
3536,1.001865
3545,0.9994437
3554,0.9973733
3563,0.9963188
3572,0.9944495
3581,0.9929285
3590,0.990895
3599,0.9900857
3608,0.9892224
3617,0.9889386
3626,0.9893131
3635,0.9889942
3644,0.9886245
3653,0.988803
3661,0.98809
3670,0.9864088
3679,0.9850329
3688,0.9836534
3697,0.9824345
3706,0.9811001
3715,0.98004
3724,0.9789233
3733,0.9777684
3742,0.9766966
3751,0.9749817
3760,0.9732933
3769,0.9714008
3778,0.9693569
3787,0.9674899
3796,0.964813
3805,0.9634498
3814,0.9616302
3823,0.9593101
3832,0.9568923
3841,0.9547847
3850,0.9529764
3859,0.9511371
3868,0.9498285
3877,0.9485463
3886,0.9468466
3895,0.9458287
3904,0.9449414
3913,0.9439041
3922,0.9428806
3931,0.9419485
3940,0.9405951
3949,0.9393962
3958,0.938605
3967,0.9370686
3976,0.9365897
3985,0.9356398
3994,0.9350004
4003,0.9346137
4012,0.9343409
4021,0.9333248
4030,0.9325186
4039,0.9319486
4048,0.9306619
4057,0.9304994
4066,0.9298238
4075,0.9289589
4084,0.9284182
4093,0.9284433
4102,0.9282933
4111,0.9278665
4120,0.9270831
4129,0.9263378
4138,0.9254946
4147,0.9245657
4156,0.9233837
4165,0.9219258
4174,0.9203378
4183,0.9188573
4192,0.9174756
4201,0.9162827
4210,0.9148951
4219,0.91341
4228,0.9117264
4237,0.9099625
4246,0.9085087
4255,0.9075026
4264,0.9061759
4273,0.905944
4282,0.9061875
4291,0.9058026
4300,0.9053546
4309,0.9048106
4318,0.9047033
4327,0.9040256
4336,0.9037
4345,0.9034103
4354,0.9033331
4363,0.9031097
4372,0.9023726
4381,0.9020837
4390,0.9014646
4399,0.9006498
4408,0.8998481
4417,0.8991102
4426,0.8982086
4435,0.8967182
4444,0.8952526
4453,0.8943896
4462,0.8939218
4471,0.8936185
4480,0.8928257
4489,0.8922076
4498,0.8918444
4507,0.891598
4516,0.8911599
4525,0.8908366
4534,0.890791
4543,0.8905884
4552,0.8894916
4561,0.8881922
4570,0.88793
4579,0.8871992
4588,0.8862504
4597,0.8849449
4606,0.8842825
4615,0.8834374
4624,0.8826039
4633,0.8817675
4642,0.8809564
4650,0.8799994
4659,0.8797336
4668,0.8793314
4677,0.8788135
4686,0.8787994
4695,0.8786721
4704,0.8783207
4713,0.8782252
4722,0.8777602
4731,0.8771444
4740,0.8767865
4749,0.8767623
4758,0.8759249
4767,0.875092
4776,0.8742443
4785,0.873704
4794,0.8731281
4803,0.8728417
4812,0.8727944
4821,0.8728321
4830,0.8733181
4839,0.873196
4848,0.8728467
4857,0.8724959
4866,0.872507
4875,0.8725337
4884,0.8725134
4893,0.8722986
4902,0.8721831
4911,0.8718013
4920,0.8712095
4929,0.8709569
4938,0.8705657
4947,0.8703448
4956,0.8701807
4965,0.8695798
4974,0.8688884
4983,0.8680992
4992,0.8677963
5001,0.8671928
5010,0.8668537
5019,0.8657835
5028,0.864942
5037,0.8642667
5046,0.8641883
5055,0.8639618
5064,0.864308
5073,0.8643945
5082,0.8645442
5091,0.8644845
5100,0.8637561
5109,0.8633801
5118,0.8623861
5127,0.8621887
5136,0.8617782
5145,0.8611786
5154,0.8604587
5163,0.8594094
5172,0.8586543
5181,0.8576505
5190,0.8567715
5199,0.8557529
5208,0.8545529
5217,0.8536448
5226,0.8528396
5235,0.8524202
5244,0.8516421
5253,0.8508099
5262,0.8500732
5271,0.8492467
5280,0.848603
5289,0.847823
5298,0.8475232
5307,0.8468963
5316,0.8466703
5325,0.8464544
5334,0.845729
5343,0.8448646
5352,0.8440617
5361,0.8439722
5370,0.8436604
5379,0.8435423
5388,0.8440266
5397,0.8443917
5406,0.8444319
5415,0.8439272
